No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
1065,Southern,Monaragala,Thanamalvila,2014-07-12,Unknown,Male,20,Subadults and adults
1066,Southern,Hambantota,Hambantota,2014-07-17,Body destroyed,Unknown,5,Juvenile
1067,Polonnaruwa,Matale,Wilgamuwa,2014-07-18,Gunshot,Male,15,Subadults and adults
1068,Eastern,Batticaloa,Koralai Pattu North,2014-07-21,Unknown,Male,15-20,Subadults and adults
1069,Central,Nuwara Eliya,Walapane,2014-07-23,Unknown,Male,25,Subadults and adults
1070,Uva,Monaragala,Moneragala,2014-07-25,Unknown,Male,30-35,Subadults and adults
1071,Central,Badulla,Kandaketiya,2014-07-27,Natural,Male,35,Subadults and adults
1072,North Western,Puttalam,Karuwalagaswewa,2014-07-29,Gunshot,Male,35,Subadults and adults
1073,Southern,Monaragala,Thanamalvila,2014-07-30,Unknown,Female,20,Subadults and adults
1074,Polonnaruwa,Polonnaruwa,Elahera,2014-07-30,Natural,Female,10,Juvenile
1075,Southern,Ratnapura,Embilipitiya,2014-07-31,Natural,Male,Unknown,Unknown
1076,Southern,Ratnapura,Embilipitiya,2014-07-31,Natural,Male,Unknown,Unknown
1077,Polonnaruwa,Matale,Wilgamuwa,2014-07-31,Body destroyed,Female,4,Calf
1078,Eastern,Ampara,Lahugala,2014-07-31,Unknown,Unknown,Unknown,Unknown
1079,Eastern,Ampara,Lahugala,2014-08-01,Unknown,Male,3-4,Calf
1080,Southern,Hambantota,Hambantota,2014-08-03,Gunshot,Female,25-30,Subadults and adults
1081,Southern,Hambantota,Hambantota,2014-08-03,At born,Unknown,1,Calf
1082,North Western,Kurunegala,Kotavehera,2014-08-07,Natural,Male,20,Subadults and adults
1083,Eastern,Ampara,Lahugala,2014-08-07,Hakkapatas,Male,5,Juvenile
1084,Polonnaruwa,Matale,Naula,2014-08-07,Natural,Male,1 Day,Infant
1085,North Western,Kurunegala,Galgamuwa,2014-08-08,Gunshot,Female,20-25,Subadults and adults
1086,Southern,Ratnapura,Weligepola,2014-08-10,Gunshot,Male,40-45,Subadults and adults
1087,Polonnaruwa,Ampara,Mahaoya,2014-08-12,Unknown,Unknown,Unknown,Unknown
1088,Polonnaruwa,Polonnaruwa,Dimbulagala,2014-08-12,Body destroyed,Male,35,Subadults and adults
1089,Southern,Monaragala,Sevanagala,2014-08-14,Accident,Female,5 Months,Infant
1090,Southern,Hambantota,Thissamaharama,2014-08-15,Body destroyed,Unknown,Unknown,Unknown
1091,Central,Kandy,Udadumbara,2014-08-18,Unknown,Female,30-35,Subadults and adults
1092,Polonnaruwa,Polonnaruwa,Lankapura,2014-08-18,Unknown,Female,14,Subadults and adults
1093,Polonnaruwa,Polonnaruwa,Welikanda,2014-08-18,Other,Female,20,Subadults and adults
1094,Polonnaruwa,Polonnaruwa,Thamankaduwa,2014-08-19,Unknown,Unknown,18,Subadults and adults
1095,Southern,Hambantota,Hambantota,2014-08-20,Other,Male,5-7,Juvenile
1096,Polonnaruwa,Trincomalee,Morawewa,2014-08-20,Hakkapatas,Female,25-30,Subadults and adults
1097,Uva,Monaragala,Siyambalanduwa,2014-08-20,Gunshot,Female,8,Juvenile
1098,Polonnaruwa,Matale,Wilgamuwa,2014-08-22,Unknown,Female,4,Calf
1099,Anuradhapura,Anuradhapura,Kekirawa,2014-08-23,Train Accident,Female,25,Subadults and adults
1100,Eastern,Ampara,Samanthurai,2014-08-25,Poisned,Male,30-35,Subadults and adults
1101,Anuradhapura,Puttalam,Vanathavilluwa,2014-08-30,Gunshot,Male,50,Subadults and adults
1102,Eastern,Ampara,Lahugala,2014-08-31,Body destroyed,Unknown,Unknown,Unknown
1103,Kilinochchi,Mullaitivu,Unknown,2014-08-31,Gunshot,Male,1,Calf
1104,Central,Badulla,Mahiyanganaya,2014-09-04,Electrocuted,Male,35-40,Subadults and adults
1105,Southern,Monaragala,Thanamalvila,2014-09-08,Accident,Male,6,Juvenile
1106,Uva,Monaragala,Unknown,2014-09-09,Gunshot,Female,30-35,Subadults and adults
1107,Anuradhapura,Anuradhapura,Horowpothana,2014-09-09,Electrocuted,Male,20,Subadults and adults
1108,Southern,Hambantota,Hambantota,2014-09-11,Unknown,Female,35,Subadults and adults
