No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category,Main_Cause
948,Anuradhapura,Anuradhapura,N. Palatha Central,2014-01-23,Electrocuted,Male,25,Subadults and adults,Unintentional
949,Anuradhapura,Anuradhapura,Palugaswewa,2014-01-24,Unknown,Unknown,30,Subadults and adults,Unknown
950,Polonnaruwa,Batticaloa,Koralai Pattu North,2014-01-27,Hakkapatas,Female,20-25,Subadults and adults,Intentional
951,Eastern,Ampara,Uhana,2014-01-28,Gunshot,Male,12-15,Subadults and adults,Intentional
952,Eastern,Ampara,Ampara,2014-01-28,Accident,Male,30-35,Subadults and adults,Unintentional
953,Polonnaruwa,Batticaloa,Koralai Pattu North,2014-01-29,Gunshot,Male,15,Subadults and adults,Intentional
954,Eastern,Ampara,Uhana,2014-01-29,Hakkapatas,Male,12-15,Subadults and adults,Intentional
955,Uva,Hambantota,Lunugamvehera,2014-01-30,Unknown,Male,15-20,Subadults and adults,Unknown
956,Southern,Ratnapura,Embilipitiya,2014-01-31,Natural,Female,Unknown,Unknown,Natural
957,Southern,Ratnapura,Embilipitiya,2014-01-31,Natural,Male,Unknown,Unknown,Natural
958,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2014-01-31,Unknown,Male,5-7,Juvenile,Unknown
959,Southern,Ratnapura,Embilipitiya,2014-01-31,Natural,Female,Unknown,Unknown,Natural
960,Anuradhapura,Anuradhapura,Thirappane,2014-02-02,Gunshot,Male,45,Subadults and adults,Intentional
961,Polonnaruwa,Ampara,Dehiattakandiya,2014-02-04,Hakkapatas,Female,10-11,Juvenile,Intentional
962,Polonnaruwa,Trincomalee,Gomarankadawala,2014-02-05,Hakkapatas,Male,8-10,Juvenile,Intentional
963,Polonnaruwa,Polonnaruwa,Hingurakgoda,2014-02-05,Train Accident,Unknown,15-20,Subadults and adults,Unintentional
964,Polonnaruwa,Polonnaruwa,Hingurakgoda,2014-02-05,Train Accident,Unknown,30-35,Subadults and adults,Unintentional
965,North Western,Kurunegala,Ehetuwewa,2014-02-07,Accident,Female,25-30,Subadults and adults,Unintentional
966,North Western,Kurunegala,Ehetuwewa,2014-02-07,Accident,Unknown,1,Calf,Unintentional
967,Anuradhapura,Anuradhapura,Medawachchiya,2014-02-07,Electrocuted,Female,30,Subadults and adults,Unintentional
968,Eastern,Ampara,Lahugala,2014-02-08,Hakkapatas,Male,Unknown,Unknown,Intentional
969,Eastern,Ampara,Lahugala,2014-02-10,Body destroyed,Unknown,Unknown,Unknown,Unknown
970,Polonnaruwa,Trincomalee,Thampalakamam,2014-02-11,Other,Female,20-25,Subadults and adults,Other
971,Polonnaruwa,Matale,Elahera,2014-02-14,Unknown,Unknown,Unknown,Unknown,Unknown
972,Polonnaruwa,Matale,Elahera,2014-02-14,Unknown,Unknown,Unknown,Unknown,Unknown
973,Eastern,Ampara,Uhana,2014-02-16,Injured,Male,15-20,Subadults and adults,Natural
974,Polonnaruwa,Trincomalee,Kantalai,2014-02-18,Hakkapatas,Female,20-30,Subadults and adults,Intentional
975,Southern,Monaragala,Thanamalvila,2014-02-18,Gunshot,Female,20,Subadults and adults,Intentional
976,Polonnaruwa,Trincomalee,Trincomalee Town and Gravets,2014-02-21,Garbage consumption,Male,30,Subadults and adults,Unintentional
977,Polonnaruwa,Polonnaruwa,Dimbulagala,2014-02-22,Unknown,Male,10,Juvenile,Unknown
978,Southern,Hambantota,Sooriyawewa,2014-02-23,Body destroyed,Unknown,Unknown,Unknown,Unknown
979,Eastern,Ampara,Addalachchenai,2014-02-26,Electrocuted,Male,35,Subadults and adults,Unintentional
980,Polonnaruwa,Trincomalee,Seruvila,2014-02-28,Unknown,Male,35,Subadults and adults,Unknown
981,Polonnaruwa,Polonnaruwa,Dimbulagala,2014-02-28,Hakkapatas,Male,9-10,Juvenile,Intentional
982,Polonnaruwa,Polonnaruwa,Lankapura,2014-03-01,Unknown,Female,15-18,Subadults and adults,Unknown
983,Polonnaruwa,Ampara,Mahaoya,2014-03-03,Unknown,Female,15-18,Subadults and adults,Unknown
984,Vavuniya,Mannar,Nanaddan,2014-03-03,Hakkapatas,Male,2.5,Calf,Intentional
985,Anuradhapura,Anuradhapura,Nochchiyagama,2014-03-05,Natural,Male,Unknown,Unknown,Natural
986,Uva,Hambantota,Thissamaharama,2014-03-08,Natural,Male,45,Subadults and adults,Natural
987,Anuradhapura,Anuradhapura,Palugaswewa,2014-03-09,Gunshot,Male,30,Subadults and adults,Intentional
988,Vavuniya,Mannar,Manthai West,2014-03-10,Hakkapatas,Female,40,Subadults and adults,Intentional
989,Vavuniya,Mannar,Nanaddan,2014-03-10,Gunshot,Male,Unknown,Unknown,Intentional
990,Anuradhapura,Puttalam,Vanathavilluwa,2014-03-11,Gunshot,Male,20,Subadults and adults,Intentional
991,Polonnaruwa,Trincomalee,Morawewa,2014-03-12,Hakkapatas,Female,30-35,Subadults and adults,Intentional
992,Southern,Monaragala,Thanamalvila,2014-03-13,Gunshot,Male,40-45,Subadults and adults,Intentional
993,Vavuniya,Mannar,Musali,2014-03-16,Unknown,Male,20-25,Subadults and adults,Unknown
994,Vavuniya,Mannar,Nanaddan,2014-03-18,Gunshot,Male,Unknown,Unknown,Intentional
995,Vavuniya,Vavuniya,Vavuniya North,2014-03-19,Hakkapatas,Male,10-15,Unknown,Intentional
996,North Western,Kurunegala,Galnewa,2014-03-20,Poisned,Female,30-35,Subadults and adults,Intentional
997,Eastern,Ampara,Samanthurai,2014-03-23,Poisned,Male,25-30,Subadults and adults,Intentional
998,Eastern,Badulla,Mahiyanganaya,2014-03-23,Gunshot,Male,30,Subadults and adults,Intentional
999,Southern,Hambantota,Hambantota,2014-03-25,Gunshot,Female,20,Subadults and adults,Intentional
1000,Polonnaruwa,Trincomalee,Kinniya,2014-03-25,Hakkapatas,Female,15-20,Subadults and adults,Intentional
1001,Eastern,Ampara,Mahaoya,2014-03-25,Injured,Female,3.5,Calf,Natural
1002,Anuradhapura,Mannar,Musali,2014-03-26,Gunshot,Male,35,Subadults and adults,Intentional
1003,Polonnaruwa,Trincomalee,Kantalai,2014-03-27,Unknown,Male,3-4,Calf,Unknown
1004,Polonnaruwa,Trincomalee,Gomarankadawala,2014-03-27,Hakkapatas,Male,7-9,Juvenile,Intentional
1005,Polonnaruwa,Trincomalee,Gomarankadawala,2014-03-30,Hakkapatas,Male,4,Calf,Intentional
1006,Southern,Ratnapura,Embilipitiya,2014-03-31,Natural,Male,Unknown,Unknown,Natural
1007,North Western,Puttalam,Karuwalagaswewa,2014-03-31,Gunshot,Male,25,Subadults and adults,Intentional
1008,Southern,Ratnapura,Embilipitiya,2014-03-31,Natural,Female,Unknown,Unknown,Natural
1009,Polonnaruwa,Polonnaruwa,Dimbulagala,2014-04-02,Body destroyed,Unknown,30-35,Subadults and adults,Unknown
1010,Anuradhapura,Anuradhapura,Thalawa,2014-04-02,Gunshot,Male,30-35,Subadults and adults,Intentional
1011,Southern,Monaragala,Thanamalvila,2014-04-03,Gunshot,Female,30,Subadults and adults,Intentional
1012,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2014-04-05,Unknown,Male,20-30,Subadults and adults,Unknown
1013,Eastern,Ampara,Uhana,2014-04-07,Hakkapatas,Male,35-40,Subadults and adults,Intentional
1014,North Western,Puttalam,Karuwalagaswewa,2014-04-08,Gunshot,Male,25-30,Subadults and adults,Intentional
1015,Eastern,Ampara,Dehiattakandiya,2014-04-10,Gunshot,Male,45-48,Subadults and adults,Intentional
1016,Eastern,Ampara,Damana,2014-04-12,Hakkapatas,Female,4-5,Juvenile,Intentional
1017,Polonnaruwa,Trincomalee,Kinniya,2014-04-12,Hakkapatas,Male,8-10,Juvenile,Intentional
1018,Vavuniya,Mannar,Nanaddan,2014-04-12,Hakkapatas,Male,4,Calf,Intentional
1019,North Western,Kurunegala,Galnewa,2014-04-15,Gunshot,Male,32,Subadults and adults,Intentional
1020,Polonnaruwa,Polonnaruwa,Welikanda,2014-04-17,Gunshot,Female,40,Subadults and adults,Intentional
1021,Polonnaruwa,Trincomalee,Kantalai,2014-04-23,Poisned,Male,30-35,Subadults and adults,Intentional
1022,Eastern,Badulla,Mahiyanganaya,2014-04-23,Gunshot,Male,45-50,Subadults and adults,Intentional
